ros_time,dvl_beam_1_range,dvl_beam_2_range,dvl_beam_3_range,dvl_beam_4_range,avg_beam_range
562.127525424,1.1446000337600708,1.7346000671386719,1.7464001178741455,1.2154000997543335,1.4602500796318054
562.22755597,1.1446000337600708,1.7464001178741455,1.2272000312805176,1.2154000997543335,1.3334000706672668
562.377593855,1.1446000337600708,1.7228000164031982,1.2154000997543335,1.1917999982833862,1.3186500370502472
562.47752266,1.1446000337600708,1.7228000164031982,1.2154000997543335,1.1917999982833862,1.3186500370502472
562.577507485,1.1092000007629395,1.652000069618225,1.2154000997543335,1.2036000490188599,1.2950500547885895
562.677504809,1.1328001022338867,1.534000039100647,1.2036000490188599,1.2036000490188599,1.2685000598430634
562.827563286,1.121000051498413,1.7464001178741455,1.2036000490188599,1.1800000667572021,1.3127500712871552
562.87752292,1.121000051498413,1.5576000213623047,1.1917999982833862,1.1917999982833862,1.2655500173568726
563.027504731,1.1328001022338867,1.5458000898361206,1.1800000667572021,1.1800000667572021,1.259650081396103
563.07752655,1.1092000007629395,1.5458000898361206,1.1917999982833862,1.1800000667572021,1.256700038909912
563.227701046,1.0974000692367554,1.6402000188827515,1.7346000671386719,1.1682000160217285,1.4101000428199768
563.327853019,1.121000051498413,1.593000054359436,1.1800000667572021,1.1564000844955444,1.262600064277649
563.427535657,1.1092000007629395,1.5576000213623047,1.4396001100540161,1.1564000844955444,1.3157000541687012
563.527531204,1.1328001022338867,1.5576000213623047,1.4396001100540161,1.1682000160217285,1.324550062417984
563.627521287,1.121000051498413,1.5694000720977783,1.1682000160217285,1.1564000844955444,1.253750056028366
563.727670112,1.0501999855041504,1.5812000036239624,1.4278000593185425,1.1564000844955444,1.30390003323555
563.827507899,1.0501999855041504,1.5576000213623047,1.4160000085830688,1.1682000160217285,1.298000007867813
563.977502302,1.0384000539779663,1.5576000213623047,1.4396001100540161,0.8850000500679016,1.2301500588655472
564.077521126,1.0384000539779663,1.5812000036239624,1.380600094795227,0.8850000500679016,1.2213000506162643
564.177519154,1.062000036239624,1.534000039100647,1.333400011062622,0.8732000589370728,1.2006500363349915
